-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,4,32,8,3,6,5,9,1,7,4,0,13,10,0,4,3,0,10,2,12,15,4,2,3,5,7,20,11,1
Open applications,2,0,0,2,0,0,4,5,1,4,0,0,0,0,0,0,2,0,1,0,2,2,1,1,0,1,0,1,1
Direct offers,2,10,3,2,2,2,6,0,5,1,0,6,3,0,0,0,1,4,0,6,5,2,0,1,3,3,5,2,1
Winter pool offers,0,0,0,0,0,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pool offers by other Colleges,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0
Acceptances by offering College,2,8,3,1,1,3,6,2,7,2,0,5,3,0,0,0,1,3,0,5,4,2,0,0,3,3,5,2,1
Acceptances through Summer Pool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
