-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,29,93,16,9,10,12,13,13,15,10,4,17,50,0,15,0,0,29,5,34,13,2,12,20,8,41,60,13,2
Open applications,0,1,1,6,0,1,5,1,15,10,0,3,0,0,2,6,7,1,2,1,15,9,2,2,0,2,0,4,1
Direct offers,3,14,3,1,1,0,2,2,7,1,0,5,6,0,4,2,0,4,1,9,6,0,3,2,0,5,12,3,1
Winter pool offers,0,0,0,1,1,2,2,0,1,5,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,2
Pool offers by other Colleges,0,2,0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0
Acceptances by offering College,2,7,3,2,1,2,3,2,7,5,0,4,4,0,2,2,1,4,2,8,6,2,1,2,0,4,9,3,2
Acceptances through Summer Pool,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
