-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,9,68,15,5,16,17,9,9,14,2,5,9,16,1,3,0,3,10,4,12,23,5,9,6,2,13,35,12,2
Open applications,0,1,0,0,0,1,4,1,7,13,0,7,0,0,3,3,1,0,1,5,1,4,1,2,1,1,0,1,2
Direct offers,2,17,4,1,3,1,3,0,5,3,0,4,2,0,0,0,3,3,1,5,6,1,1,1,0,5,8,1,0
Winter pool offers,0,0,0,1,0,0,2,2,3,3,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pool offers by other Colleges,0,5,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,0,0
Acceptances by offering College,2,12,4,1,2,1,4,2,7,4,1,4,2,0,1,0,3,2,1,4,6,2,1,0,0,5,7,1,0
Acceptances through Summer Pool,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
