-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,8,74,9,3,10,15,9,5,9,2,5,14,18,1,8,0,0,8,3,11,19,2,5,0,0,9,20,8,7
Open applications,1,1,0,2,0,0,7,2,11,10,1,3,0,0,1,2,3,0,1,6,1,8,1,5,1,2,0,1,0
Direct offers,1,18,2,2,2,3,1,2,7,1,0,5,2,0,0,0,1,0,0,7,6,1,0,1,0,5,6,2,0
Winter pool offers,0,0,0,0,0,0,4,0,1,3,0,0,0,0,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0
Pool offers by other Colleges,0,8,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0
Acceptances by offering College,1,11,1,1,2,3,2,2,7,2,0,5,1,0,1,0,1,2,0,5,4,2,0,1,0,3,6,1,0
Acceptances through Summer Pool,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
