-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,8,34,5,7,6,11,7,1,15,6,4,11,12,2,4,1,1,7,7,12,15,4,4,3,3,12,16,6,3
Open applications,0,0,0,1,0,0,5,6,1,3,1,3,0,0,1,2,2,0,0,6,1,3,1,1,3,1,0,2,2
Direct offers,2,13,2,1,0,1,3,1,5,2,0,4,3,1,2,0,2,2,1,5,5,2,2,2,0,3,4,1,1
Winter pool offers,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0
Pool offers by other Colleges,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0
Acceptances by offering College,2,10,2,2,0,1,4,2,6,3,0,4,3,1,2,0,2,2,1,5,4,2,2,2,1,3,4,3,1
Acceptances through Summer Pool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
