-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,9,93,13,4,19,17,11,7,15,8,1,17,31,0,4,1,1,18,18,28,27,6,10,12,1,16,32,12,8
Open applications,3,0,0,4,0,1,9,5,14,10,1,4,0,0,3,4,4,0,1,2,2,6,2,1,2,3,0,1,0
Direct offers,1,18,3,1,2,2,2,0,6,3,0,4,4,0,2,2,0,1,4,7,7,1,2,2,0,6,7,2,3
Winter pool offers,1,0,0,1,0,0,3,2,2,1,0,0,0,0,3,0,0,3,0,1,0,0,0,0,1,0,0,0,0
Pool offers by other Colleges,0,4,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
Acceptances by offering College,2,12,3,2,2,2,4,2,7,4,0,3,2,0,1,2,0,3,2,6,6,1,1,2,1,5,3,1,3
Acceptances through Summer Pool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
