-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,4,43,9,5,4,12,3,5,17,7,4,23,14,1,2,3,0,4,4,18,25,4,8,8,8,8,21,3,3
Open applications,3,0,0,2,0,1,17,4,0,3,1,0,0,0,2,2,5,0,2,3,1,2,1,1,1,3,0,5,0
Direct offers,1,13,2,0,0,3,6,2,5,2,0,2,4,0,0,1,0,3,2,5,8,1,2,1,2,2,5,2,2
Winter pool offers,0,2,0,2,2,0,0,0,2,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Pool offers by other Colleges,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,6,0,0
Acceptances by offering College,0,7,1,1,2,3,3,2,6,4,0,5,2,0,0,1,0,2,1,3,7,2,1,1,0,3,4,2,2
Acceptances through Summer Pool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
