-,Christ's College,Churchill College,Clare College,Corpus Christi College,Downing College,Emmanuel College,Fitzwilliam College,Girton College,Gonville and Caius College,Homerton College,Hughes Hall,Jesus College,King's College,Lucy Cavendish College,Magdalene College,Murray Edwards College,Newnham College,Pembroke College,Peterhouse,Queens' College,Robinson College,Selwyn College,Sidney Sussex College,St Catharine's College,St Edmund's College,St John's College,Trinity College,Trinity Hall,Wolfson College
Direct applications,28,90,16,9,10,9,16,8,20,5,6,13,44,1,11,1,4,9,5,29,26,5,8,8,7,27,47,22,7
Open applications,3,0,0,2,0,3,3,6,11,15,2,12,0,0,2,6,4,0,3,2,2,7,3,3,0,3,0,0,0
Direct offers,3,16,3,5,1,2,2,2,7,3,1,4,7,0,3,0,1,0,0,6,5,1,2,4,0,7,10,4,0
Winter pool offers,0,0,0,0,1,0,2,1,1,2,0,0,0,0,2,0,1,3,0,0,1,1,3,0,0,0,0,0,2
Pool offers by other Colleges,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,1,0,2,0
Acceptances by offering College,3,13,3,5,2,2,3,3,7,4,0,4,3,0,3,0,1,3,0,5,6,2,3,3,0,6,9,4,1
Acceptances through Summer Pool,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
